url,service_type
http://enterprise.internal/api/service/67,FAST
http://enterprise.internal/api/service/68,SLOW
http://enterprise.internal/api/service/69,SLOW
http://enterprise.internal/api/service/70,FAST
http://enterprise.internal/api/service/71,SLOW
http://enterprise.internal/api/service/72,FLAKY
http://enterprise.internal/api/service/73,FAST
http://enterprise.internal/api/service/74,FAST
http://enterprise.internal/api/service/75,FAST
http://enterprise.internal/api/service/76,FLAKY
http://enterprise.internal/api/service/77,DOWN
http://enterprise.internal/api/service/78,FAST
http://enterprise.internal/api/service/79,SLOW
http://enterprise.internal/api/service/80,FAST
http://enterprise.internal/api/service/81,FAST
http://enterprise.internal/api/service/82,FAST
http://enterprise.internal/api/service/83,FAST
http://enterprise.internal/api/service/84,FAST
http://enterprise.internal/api/service/85,FAST
http://enterprise.internal/api/service/86,FLAKY
http://enterprise.internal/api/service/87,SLOW
http://enterprise.internal/api/service/88,FAST
http://enterprise.internal/api/service/89,SLOW
http://enterprise.internal/api/service/90,DOWN
http://enterprise.internal/api/service/91,FAST
http://enterprise.internal/api/service/92,FAST
http://enterprise.internal/api/service/93,FAST
http://enterprise.internal/api/service/94,SLOW
http://enterprise.internal/api/service/95,FAST
http://enterprise.internal/api/service/96,SLOW
http://enterprise.internal/api/service/97,FAST
http://enterprise.internal/api/service/98,DOWN
http://enterprise.internal/api/service/99,FAST
http://enterprise.internal/api/service/100,FLAKY
http://enterprise.internal/api/service/101,FAST
http://enterprise.internal/api/service/102,SLOW
http://enterprise.internal/api/service/103,FAST
http://enterprise.internal/api/service/104,FAST
http://enterprise.internal/api/service/105,FAST
http://enterprise.internal/api/service/106,DOWN
http://enterprise.internal/api/service/107,SLOW
http://enterprise.internal/api/service/108,FAST
http://enterprise.internal/api/service/109,FAST
http://enterprise.internal/api/service/110,FAST
http://enterprise.internal/api/service/111,FAST
http://enterprise.internal/api/service/112,SLOW
http://enterprise.internal/api/service/113,FAST
http://enterprise.internal/api/service/114,FAST
http://enterprise.internal/api/service/115,FAST
http://enterprise.internal/api/service/116,SLOW
http://enterprise.internal/api/service/117,SLOW
http://enterprise.internal/api/service/118,SLOW
http://enterprise.internal/api/service/119,FLAKY
http://enterprise.internal/api/service/120,FAST
http://enterprise.internal/api/service/121,SLOW
http://enterprise.internal/api/service/122,FLAKY
http://enterprise.internal/api/service/123,FAST
http://enterprise.internal/api/service/124,SLOW
http://enterprise.internal/api/service/125,FAST
http://enterprise.internal/api/service/126,FAST
http://enterprise.internal/api/service/127,SLOW
http://enterprise.internal/api/service/128,SLOW
http://enterprise.internal/api/service/129,FAST
http://enterprise.internal/api/service/130,FAST
http://enterprise.internal/api/service/131,DOWN
http://enterprise.internal/api/service/132,FAST
http://enterprise.internal/api/service/133,FAST
http://enterprise.internal/api/service/134,SLOW
http://enterprise.internal/api/service/135,FLAKY
http://enterprise.internal/api/service/136,FLAKY
http://enterprise.internal/api/service/137,FAST
http://enterprise.internal/api/service/138,FAST
http://enterprise.internal/api/service/139,FAST
http://enterprise.internal/api/service/140,SLOW
http://enterprise.internal/api/service/141,FAST
http://enterprise.internal/api/service/142,FAST
http://enterprise.internal/api/service/143,FAST
http://enterprise.internal/api/service/144,SLOW
http://enterprise.internal/api/service/145,FAST
http://enterprise.internal/api/service/146,FAST
http://enterprise.internal/api/service/147,FAST
http://enterprise.internal/api/service/148,SLOW
http://enterprise.internal/api/service/149,FAST
http://enterprise.internal/api/service/150,SLOW
http://enterprise.internal/api/service/151,FAST
http://enterprise.internal/api/service/152,FAST
http://enterprise.internal/api/service/153,FAST
http://enterprise.internal/api/service/154,FLAKY
http://enterprise.internal/api/service/155,FAST
http://enterprise.internal/api/service/156,FAST
http://enterprise.internal/api/service/157,SLOW
http://enterprise.internal/api/service/158,FAST
http://enterprise.internal/api/service/159,SLOW
http://enterprise.internal/api/service/160,FAST
http://enterprise.internal/api/service/161,FAST
http://enterprise.internal/api/service/162,SLOW
http://enterprise.internal/api/service/163,FAST
http://enterprise.internal/api/service/164,FAST
http://enterprise.internal/api/service/165,FLAKY
http://enterprise.internal/api/service/166,FAST
http://enterprise.internal/api/service/167,DOWN
http://enterprise.internal/api/service/168,FLAKY
http://enterprise.internal/api/service/169,FAST
http://enterprise.internal/api/service/170,FAST
http://enterprise.internal/api/service/171,FAST
http://enterprise.internal/api/service/172,FAST
http://enterprise.internal/api/service/173,FAST
http://enterprise.internal/api/service/174,FAST
http://enterprise.internal/api/service/175,FAST
http://enterprise.internal/api/service/176,FAST
http://enterprise.internal/api/service/177,FAST
http://enterprise.internal/api/service/178,SLOW
http://enterprise.internal/api/service/179,SLOW
http://enterprise.internal/api/service/180,FAST
http://enterprise.internal/api/service/181,FLAKY
http://enterprise.internal/api/service/182,FAST
http://enterprise.internal/api/service/183,FAST
http://enterprise.internal/api/service/184,FLAKY
http://enterprise.internal/api/service/185,FAST
http://enterprise.internal/api/service/186,FAST
http://enterprise.internal/api/service/187,FAST
http://enterprise.internal/api/service/188,FAST
http://enterprise.internal/api/service/189,SLOW
http://enterprise.internal/api/service/190,FAST
http://enterprise.internal/api/service/191,FAST
http://enterprise.internal/api/service/192,FAST
http://enterprise.internal/api/service/193,FAST
http://enterprise.internal/api/service/194,FLAKY
http://enterprise.internal/api/service/195,FAST
http://enterprise.internal/api/service/196,FAST
http://enterprise.internal/api/service/197,FAST
http://enterprise.internal/api/service/198,FAST
http://enterprise.internal/api/service/199,SLOW
http://enterprise.internal/api/service/200,FAST
http://enterprise.internal/api/service/201,SLOW
http://enterprise.internal/api/service/202,FLAKY
http://enterprise.internal/api/service/203,FAST
http://enterprise.internal/api/service/204,FAST
http://enterprise.internal/api/service/205,FAST
http://enterprise.internal/api/service/206,FLAKY
http://enterprise.internal/api/service/207,FAST
http://enterprise.internal/api/service/208,FAST
http://enterprise.internal/api/service/209,FAST
http://enterprise.internal/api/service/210,SLOW
http://enterprise.internal/api/service/211,SLOW
http://enterprise.internal/api/service/212,SLOW
http://enterprise.internal/api/service/213,FAST
http://enterprise.internal/api/service/214,SLOW
http://enterprise.internal/api/service/215,FLAKY
http://enterprise.internal/api/service/216,FAST
http://enterprise.internal/api/service/217,FLAKY
http://enterprise.internal/api/service/218,FLAKY
http://enterprise.internal/api/service/219,FAST
http://enterprise.internal/api/service/220,SLOW
http://enterprise.internal/api/service/221,FAST
http://enterprise.internal/api/service/222,DOWN
http://enterprise.internal/api/service/223,SLOW
http://enterprise.internal/api/service/224,FAST
http://enterprise.internal/api/service/225,FAST
http://enterprise.internal/api/service/226,FLAKY
http://enterprise.internal/api/service/227,FLAKY
http://enterprise.internal/api/service/228,SLOW
http://enterprise.internal/api/service/229,FAST
http://enterprise.internal/api/service/230,FAST
http://enterprise.internal/api/service/231,FAST
http://enterprise.internal/api/service/232,FAST
http://enterprise.internal/api/service/233,FAST
http://enterprise.internal/api/service/234,FAST
http://enterprise.internal/api/service/235,FAST
http://enterprise.internal/api/service/236,FAST
http://enterprise.internal/api/service/237,DOWN
http://enterprise.internal/api/service/238,FAST
http://enterprise.internal/api/service/239,FAST
http://enterprise.internal/api/service/240,FAST
http://enterprise.internal/api/service/241,SLOW
http://enterprise.internal/api/service/242,SLOW
http://enterprise.internal/api/service/243,SLOW
http://enterprise.internal/api/service/244,FAST
http://enterprise.internal/api/service/245,FAST
http://enterprise.internal/api/service/246,SLOW
http://enterprise.internal/api/service/247,FAST
http://enterprise.internal/api/service/248,SLOW
http://enterprise.internal/api/service/249,FAST
http://enterprise.internal/api/service/250,FAST
http://enterprise.internal/api/service/251,FAST
http://enterprise.internal/api/service/252,FAST
http://enterprise.internal/api/service/253,FLAKY
http://enterprise.internal/api/service/254,FLAKY
http://enterprise.internal/api/service/255,FAST
http://enterprise.internal/api/service/256,FAST
http://enterprise.internal/api/service/257,FAST
http://enterprise.internal/api/service/258,FAST
http://enterprise.internal/api/service/259,FAST
http://enterprise.internal/api/service/260,SLOW
http://enterprise.internal/api/service/261,FLAKY
http://enterprise.internal/api/service/262,FAST
http://enterprise.internal/api/service/263,FAST
http://enterprise.internal/api/service/264,SLOW
http://enterprise.internal/api/service/265,FLAKY
http://enterprise.internal/api/service/266,FAST
http://enterprise.internal/api/service/267,FAST
http://enterprise.internal/api/service/268,DOWN
http://enterprise.internal/api/service/269,FAST
http://enterprise.internal/api/service/270,FAST
http://enterprise.internal/api/service/271,SLOW
http://enterprise.internal/api/service/272,SLOW
http://enterprise.internal/api/service/273,SLOW
http://enterprise.internal/api/service/274,FAST
http://enterprise.internal/api/service/275,FAST
http://enterprise.internal/api/service/276,FLAKY
http://enterprise.internal/api/service/277,FAST
http://enterprise.internal/api/service/278,FAST
http://enterprise.internal/api/service/279,FAST
http://enterprise.internal/api/service/280,FAST
http://enterprise.internal/api/service/281,SLOW
http://enterprise.internal/api/service/282,SLOW
http://enterprise.internal/api/service/283,FAST
http://enterprise.internal/api/service/284,FAST
http://enterprise.internal/api/service/285,FAST
http://enterprise.internal/api/service/286,FAST
http://enterprise.internal/api/service/287,FAST
http://enterprise.internal/api/service/288,SLOW
http://enterprise.internal/api/service/289,SLOW
http://enterprise.internal/api/service/290,FAST
http://enterprise.internal/api/service/291,FLAKY
http://enterprise.internal/api/service/292,SLOW
http://enterprise.internal/api/service/293,FAST
http://enterprise.internal/api/service/294,SLOW
http://enterprise.internal/api/service/295,FAST
http://enterprise.internal/api/service/296,FAST
http://enterprise.internal/api/service/297,FAST
http://enterprise.internal/api/service/298,SLOW
http://enterprise.internal/api/service/299,SLOW
http://enterprise.internal/api/service/300,FAST
http://enterprise.internal/api/service/301,SLOW
http://enterprise.internal/api/service/302,FAST
http://enterprise.internal/api/service/303,SLOW
http://enterprise.internal/api/service/304,SLOW
http://enterprise.internal/api/service/305,SLOW
http://enterprise.internal/api/service/306,FLAKY
http://enterprise.internal/api/service/307,SLOW
http://enterprise.internal/api/service/308,FLAKY
http://enterprise.internal/api/service/309,FAST
http://enterprise.internal/api/service/310,SLOW
http://enterprise.internal/api/service/311,FLAKY
http://enterprise.internal/api/service/312,FAST
http://enterprise.internal/api/service/313,SLOW
http://enterprise.internal/api/service/314,FAST
http://enterprise.internal/api/service/315,FAST
http://enterprise.internal/api/service/316,FAST
http://enterprise.internal/api/service/317,FAST
http://enterprise.internal/api/service/318,SLOW
http://enterprise.internal/api/service/319,FAST
http://enterprise.internal/api/service/320,FAST
http://enterprise.internal/api/service/321,FAST
http://enterprise.internal/api/service/322,FAST
http://enterprise.internal/api/service/323,FAST
http://enterprise.internal/api/service/324,FAST
http://enterprise.internal/api/service/325,FLAKY
http://enterprise.internal/api/service/326,FAST
http://enterprise.internal/api/service/327,FAST
http://enterprise.internal/api/service/328,FAST
http://enterprise.internal/api/service/329,FAST
http://enterprise.internal/api/service/330,SLOW
http://enterprise.internal/api/service/331,DOWN
http://enterprise.internal/api/service/332,DOWN
http://enterprise.internal/api/service/333,FAST
http://enterprise.internal/api/service/334,FAST
http://enterprise.internal/api/service/335,FAST
http://enterprise.internal/api/service/336,DOWN
http://enterprise.internal/api/service/337,FLAKY
http://enterprise.internal/api/service/338,SLOW
http://enterprise.internal/api/service/339,FAST
http://enterprise.internal/api/service/340,FAST
http://enterprise.internal/api/service/341,FLAKY
http://enterprise.internal/api/service/342,FAST
http://enterprise.internal/api/service/343,SLOW
http://enterprise.internal/api/service/344,FAST
http://enterprise.internal/api/service/345,SLOW
http://enterprise.internal/api/service/346,FLAKY
http://enterprise.internal/api/service/347,FAST
http://enterprise.internal/api/service/348,FAST
http://enterprise.internal/api/service/349,FLAKY
http://enterprise.internal/api/service/350,FAST
http://enterprise.internal/api/service/351,FAST
http://enterprise.internal/api/service/352,FAST
http://enterprise.internal/api/service/353,FLAKY
http://enterprise.internal/api/service/354,FAST
http://enterprise.internal/api/service/355,DOWN
http://enterprise.internal/api/service/356,FLAKY
http://enterprise.internal/api/service/357,FAST
http://enterprise.internal/api/service/358,FAST
http://enterprise.internal/api/service/359,FAST
http://enterprise.internal/api/service/360,FAST
http://enterprise.internal/api/service/361,FAST
http://enterprise.internal/api/service/362,FLAKY
http://enterprise.internal/api/service/363,FAST
http://enterprise.internal/api/service/364,FLAKY
http://enterprise.internal/api/service/365,FAST
http://enterprise.internal/api/service/366,SLOW
http://enterprise.internal/api/service/367,FAST
http://enterprise.internal/api/service/368,FAST
http://enterprise.internal/api/service/369,FLAKY
http://enterprise.internal/api/service/370,SLOW
http://enterprise.internal/api/service/371,DOWN
http://enterprise.internal/api/service/372,FAST
http://enterprise.internal/api/service/373,FAST
http://enterprise.internal/api/service/374,FLAKY
http://enterprise.internal/api/service/375,FLAKY
http://enterprise.internal/api/service/376,DOWN
http://enterprise.internal/api/service/377,FAST
http://enterprise.internal/api/service/378,DOWN
http://enterprise.internal/api/service/379,SLOW
http://enterprise.internal/api/service/380,FLAKY
http://enterprise.internal/api/service/381,FAST
http://enterprise.internal/api/service/382,FAST
http://enterprise.internal/api/service/383,SLOW
http://enterprise.internal/api/service/384,FAST
http://enterprise.internal/api/service/385,FAST
http://enterprise.internal/api/service/386,FAST
http://enterprise.internal/api/service/387,FAST
http://enterprise.internal/api/service/388,FAST
http://enterprise.internal/api/service/389,FAST
http://enterprise.internal/api/service/390,FAST
http://enterprise.internal/api/service/391,FAST
http://enterprise.internal/api/service/392,FAST
http://enterprise.internal/api/service/393,FAST
http://enterprise.internal/api/service/394,FAST
http://enterprise.internal/api/service/395,FAST
http://enterprise.internal/api/service/396,FAST
http://enterprise.internal/api/service/397,FAST
http://enterprise.internal/api/service/398,FLAKY
http://enterprise.internal/api/service/399,FAST
http://enterprise.internal/api/service/400,FAST
http://enterprise.internal/api/service/401,FAST
http://enterprise.internal/api/service/402,FAST
http://enterprise.internal/api/service/403,FLAKY
http://enterprise.internal/api/service/404,SLOW
http://enterprise.internal/api/service/405,FAST
http://enterprise.internal/api/service/406,FAST
http://enterprise.internal/api/service/407,FAST
http://enterprise.internal/api/service/408,SLOW
http://enterprise.internal/api/service/409,FAST
http://enterprise.internal/api/service/410,SLOW
http://enterprise.internal/api/service/411,FAST
http://enterprise.internal/api/service/412,SLOW
http://enterprise.internal/api/service/413,FLAKY
http://enterprise.internal/api/service/414,FAST
http://enterprise.internal/api/service/415,FAST
http://enterprise.internal/api/service/416,FAST
http://enterprise.internal/api/service/417,FAST
http://enterprise.internal/api/service/418,FLAKY
http://enterprise.internal/api/service/419,FAST
http://enterprise.internal/api/service/420,FAST
http://enterprise.internal/api/service/421,FAST
http://enterprise.internal/api/service/422,FLAKY
http://enterprise.internal/api/service/423,FAST
http://enterprise.internal/api/service/424,FLAKY
http://enterprise.internal/api/service/425,SLOW
http://enterprise.internal/api/service/426,FAST
http://enterprise.internal/api/service/427,SLOW
http://enterprise.internal/api/service/428,FLAKY
http://enterprise.internal/api/service/429,SLOW
http://enterprise.internal/api/service/430,FAST
http://enterprise.internal/api/service/431,SLOW
http://enterprise.internal/api/service/432,FAST
http://enterprise.internal/api/service/433,FAST
http://enterprise.internal/api/service/434,SLOW
http://enterprise.internal/api/service/435,SLOW
http://enterprise.internal/api/service/436,FAST
http://enterprise.internal/api/service/437,DOWN
http://enterprise.internal/api/service/438,FAST
http://enterprise.internal/api/service/439,SLOW
http://enterprise.internal/api/service/440,SLOW
http://enterprise.internal/api/service/441,FAST
http://enterprise.internal/api/service/442,SLOW
http://enterprise.internal/api/service/443,FAST
http://enterprise.internal/api/service/444,FAST
http://enterprise.internal/api/service/445,FAST
http://enterprise.internal/api/service/446,FAST
http://enterprise.internal/api/service/447,FAST
http://enterprise.internal/api/service/448,FAST
http://enterprise.internal/api/service/449,FAST
http://enterprise.internal/api/service/450,SLOW
http://enterprise.internal/api/service/451,FAST
http://enterprise.internal/api/service/452,FAST
http://enterprise.internal/api/service/453,FAST
http://enterprise.internal/api/service/454,FAST
http://enterprise.internal/api/service/455,FAST
http://enterprise.internal/api/service/456,FAST
http://enterprise.internal/api/service/457,FAST
http://enterprise.internal/api/service/458,FLAKY
http://enterprise.internal/api/service/459,SLOW
http://enterprise.internal/api/service/460,FAST
http://enterprise.internal/api/service/461,FAST
http://enterprise.internal/api/service/462,FAST
http://enterprise.internal/api/service/463,FAST
http://enterprise.internal/api/service/464,FLAKY
http://enterprise.internal/api/service/465,FLAKY
http://enterprise.internal/api/service/466,SLOW
http://enterprise.internal/api/service/467,FAST
http://enterprise.internal/api/service/468,SLOW
http://enterprise.internal/api/service/469,FAST
http://enterprise.internal/api/service/470,SLOW
http://enterprise.internal/api/service/471,FAST
http://enterprise.internal/api/service/472,FLAKY
http://enterprise.internal/api/service/473,FAST
http://enterprise.internal/api/service/474,SLOW
http://enterprise.internal/api/service/475,SLOW
http://enterprise.internal/api/service/476,DOWN
http://enterprise.internal/api/service/477,DOWN
http://enterprise.internal/api/service/478,FAST
http://enterprise.internal/api/service/479,SLOW
http://enterprise.internal/api/service/480,FAST
http://enterprise.internal/api/service/481,FLAKY
http://enterprise.internal/api/service/482,SLOW
http://enterprise.internal/api/service/483,FAST
http://enterprise.internal/api/service/484,FLAKY
http://enterprise.internal/api/service/485,FAST
http://enterprise.internal/api/service/486,FAST
http://enterprise.internal/api/service/487,FAST
http://enterprise.internal/api/service/488,SLOW
http://enterprise.internal/api/service/489,FAST
http://enterprise.internal/api/service/490,FAST
http://enterprise.internal/api/service/491,FLAKY
http://enterprise.internal/api/service/492,SLOW
http://enterprise.internal/api/service/493,FAST
http://enterprise.internal/api/service/494,FAST
http://enterprise.internal/api/service/495,FLAKY
http://enterprise.internal/api/service/496,SLOW
http://enterprise.internal/api/service/497,FAST
http://enterprise.internal/api/service/498,DOWN
http://enterprise.internal/api/service/499,SLOW
